Accuracy,BPM,Difficulty,Length,Title
8.6,127.45,4.863536834714285,31,Ooame
7.5,116.0,4.144246101378571,479,Ec Tisia
8.399999999999999,142.0,4.477020740507142,29,Harumachi Clover
8.7,114.0,5.653677940371428,134,Infinity of Our Love
7.5,38.0,4.325656890871429,332,Koi wo Shita no wa
8.0,135.0,5.013247489928571,137,saika in Another Style
8.0,160.0,4.529636859892857,93,Don Coi
9.0,175.0,5.689795017242857,115,Avalanche
8.0,135.0,5.043506622314285,100,Shen De Sui Bo Zhu Liu
8.0,170.0,4.6152081489571435,77,Great Days
9.0,170.0,5.805850028992857,331,Liar Liar (Wasteland Monarchy)
8.6,176.0,5.3161444664,215,AIWAGUMA
8.0,172.0,5.456321716307143,112,Beautiful Angel
8.0,83.25,5.020256042478572,116,Mythic set ~ Heart-Stirring Urban Legends
9.0,180.0,5.677454471585714,89,Kira Kira datoka Yume datoka ~Sing Girls~ (TV Size)
8.7,165.0,4.645666122435714,369,Tou no Shita no Exercitus
8.399999999999999,174.0,5.853734016421428,360,The Pretender
8.0,140.0,5.071048259735714,126,Infinite
9.299999999999999,270.0,6.012149810792857,319,Remind
8.2,177.0,4.585186004635713,123,Pulsation
9.0,131.0,6.203279972078571,205,Gokuraku Jodo
8.2,178.0,5.000423431399999,95,Million Smile
7.0,98.0,2.9968297481571424,151,Equestria Girls
8.5,110.0,5.618244647978571,421,Paper Moon
9.0,227.0,5.969432830807142,73,Sendan Life
3.5,76.0,1.0633175373071428,29,And You Disappeared
9.0,135.33,6.032718658449999,193,Groundhog (Beat Juggle)
8.0,162.0,4.661841392514285,194,SPiCa
6.0,110.0,3.019067287442857,85,Shinkai Shoujo-piano ver.-
7.0,140.0,3.825331449507143,356,Lost
7.0,144.0,2.9851400852214285,321,Yuki No Seireitachi
7.699999999999999,126.0,3.52492547035,185,Heart Attack
8.0,110.0,5.74352693557857,219,Not Today
8.2,175.0,4.613098144528571,86,Mizuiro Stage
7.3999999999999995,125.0,3.816329956057143,37,Kondomvaruhuset.se
8.0,91.0,4.543882846835714,90,Taiyou to Himawari
9.0,170.0,6.131630420685713,105,Brain Power
8.5,128.0,4.270605564114286,72,The Queen's Justice
8.299999999999999,173.0,5.250825881957143,88,Uso - 'Hagane no Renkinjutsushi FULLMETAL ALCHEMIST' ED Ver.-
8.7,175.0,5.132572174071428,179,Natsu no Owari (Soleily Remix)
7.5,96.0,4.389484405514286,216,True Love ft. Lily Allen
8.299999999999999,181.0,5.262454032899999,86,Mirai no Bokura wa Shitteru yo
8.5,189.0,5.4016609191928575,40,Shugyou no Thema
9.0,157.0,5.420087814328571,111,AsiaN distractive
8.0,134.0,3.7531089782714284,246,Mata ne Bye Bye feat.Rika
9.0,200.0,5.497393608092857,134,LAISSEZ:FAIRE
8.5,168.0,5.5008711814857145,202,Gabriel Drop Kick
8.0,182.0,5.287624835971428,86,clever -TV MIX-
8.0,180.0,4.8288130760214285,159,Like A Man
8.5,174.0,4.650121688842856,85,Sparkling * Traveler
8.0,194.0,5.699970245364286,220,Super nuko ni naritai
8.0,153.0,4.688688755035714,79,Hologram
8.0,127.0,4.731395244599999,196,Yellow
8.0,175.0,4.781013011935714,87,Ashita no Kimi sae Ireba Ii.
8.0,200.0,5.7055120468142855,106,Lilieze to Enryuu Laevateinn
9.399999999999999,188.0,6.45412397385,89,STORY (TV Size)
8.0,140.0,4.190829277035714,181,Legends Never Die (ft. Against The Current)
9.200000000000001,224.0,7.6881480217142855,233,Snow Drive(01.23)
8.0,164.0,4.714970588685714,85,Edelweiss
9.0,220.0,6.809217453,459,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo."
6.0,130.0,3.109555721285714,44,Nyanpasu Bang Bang
7.0,127.0,3.9298563003571427,221,Mirror
8.299999999999999,72.5,4.630329132078572,299,Toki Hatsuru Yume
8.6,170.0,6.989335536957142,320,Dark Steering
7.199999999999999,172.0,4.1718282699571425,94,Heart Purupuru Jiken desu
7.0,117.0,3.200907945635714,86,FLIP FLAP FLIP FLAP (TV SIZE)
8.7,182.0,5.651927948,349,Songs Compilation
8.5,141.0,6.176845073699999,183,Hello!My World!!
8.5,180.0,5.703557014464285,302,Endless cycle of rebirth & We cannot get out of here forever
8.0,168.0,4.972012996671428,87,Contrail ~Kiseki~
8.5,162.0,5.031126022335714,211,Senpai.
8.5,96.0,5.263873100278571,75,Yi Bai Kuai Dou Bu Gei Wo
8.0,89.0,5.471886157992857,209,Despacito ft. Daddy Yankee
8.5,196.0,4.783750534057143,84,Sayonara Moon Town
8.0,105.0,4.699393272399999,88,hakushu kassai utaawase
8.0,170.0,4.400854587557142,72,Umapyoi Densetsu
8.0,156.0,5.102792263028571,88,Caste Room
8.5,180.0,5.329175472257143,123,Vexaria
8.0,202.0,4.682209968564286,129,Pinocchio
8.7,198.5,6.147959709164286,88,distance (NARUTO Ver.)
8.0,175.0,4.895093441007143,87,Haruka Kanata
7.0,174.967,3.3127555847142856,105,Wind
7.5,135.0,4.202209472657143,116,Todokanai Koi
7.0,133.0,4.00185108185,123,Kaga Misaki (Jissou ver.)
9.5,218.0,5.723877906799999,100,Yuuki no Pendant
7.0,180.0,5.252717971799999,88,RAIMEI (Thunderbolt Fantasy Tourikenyuuki OP ver.)
8.5,133.0,4.278195381164285,56,Aimaimoko
8.7,175.0,5.5268907547,340,Delay Order
9.0,187.5,5.88934278487857,83,Genkai Toppa x Survivor
8.299999999999999,142.0,5.195571899414285,681,OneRoom Ending Song Anthology
8.0,181.0,4.868244171142857,88,"Don't say ""lazy"" (TV size Ver.)"
9.0,121.0,3.3836059570285713,88,Maigoinu to Ame no Beat
6.5,120.0,2.8687763214142854,69,Tranquil Yard
9.0,185.0,5.601243495942857,108,We're so Happy
8.2,174.0,5.5478262901285715,181,Zetsubou no Fuchi
9.799999999999999,200.0,7.3728814125,350,Guilty All The Same (feat. Rakim)
7.0,132.0,3.917081594464286,195,Sakura Uta
9.0,182.0,5.789126396178571,307,Yumeshoushitsu ~ Lost Dream
9.200000000000001,212.0,6.863009452821428,140,Re:End of a Dream
3.0,67.0,0.9442556500428572,99,Gei Wo Yi Ge Li You Wang Ji
9.0,180.0,5.699307441714285,122,yuima-ru*world
8.5,200.0,5.85082530975,135,LAISSEZ:FAIRE
7.8,150.0,4.3708152771,102,Miracle * Feel Free
8.0,135.0,3.782927989957143,86,Melting Point
8.799999999999999,127.7,6.139677047728571,347,Lazy Eye
8.0,148.0,4.441973686221428,85,Stella Breeze (TV Size)
8.799999999999999,173.0,6.130423545835714,66,Butsutekkai
8.0,80.0,2.3936085701,25,~DISK 1~
8.0,50.35,5.410682678221429,319,EXEC_PAJA/.#Orica extracting.
8.5,170.0,5.559908866885714,201,Gekka Jasmine (2014ver.)
8.0,180.0,6.297186374664285,110,Oriental Blossom
8.7,180.0,5.283576488492857,95,Haruoto*Veil
8.0,167.0,4.7520670890785714,61,"Life [Eris's ""a Fate Encounter"" mix]"
6.0,107.0,3.2801139354714284,237,Casi Humanos
7.8,144.0,4.92757463455,226,Ohedo Julia-Night
7.5,124.0,4.228580474849999,80,super anime groove 3d world
8.7,176.0,5.630996227264285,88,SHIORI -TV size mix-
8.0,140.0,5.121196746828571,379,Hoshikuzu no Interlude (Serji Remix)
9.5,234.0,7.068558692928571,206,Sukisuki Zecchoushou
9.0,170.0,5.869568347928571,366,Hidra Heteromycin
8.2,151.0,4.108300685885713,34,Narwhals
8.7,158.0,4.930590152742856,92,Natsukoi Hanabi
7.5,71.5,3.406836986542857,85,Hajimari no Shirushi (Anime Size)
10.0,105.0,4.6506366729714275,103,Shadow gate to love
8.299999999999999,172.0,5.223463058471428,467,Darkmist
8.0,128.0,3.8983290195499998,62,Virgin
9.0,300.0,5.687873840328572,99,Punk Rock Girl
8.7,174.0,5.792609214785714,100,Diamond
9.0,70.0,6.297163486478571,330,Gareki no Shuuon
7.5,130.0,3.8092682361571426,86,Yumeiro Compass
8.0,150.0,4.288424968721428,310,Rebirth
8.2,183.0,5.494197845457143,107,Exceed the Destiny (short ver.)
7.5,140.0,4.009259223935714,172,Wilt
7.5,76.0,3.289266586307143,86,Kimi no Uta TV ver.
7.699999999999999,144.0,4.888277053835714,101,Koi Kou Enishi
9.5,158.0,5.638356685635714,88,No Poi!
8.0,174.0,5.336957931521428,111,Fall Away
8.0,165.0,5.0970540046714286,170,Shunkan Everlasting
9.0,296.0,6.002760887142857,87,Curtain Call!!!!!
9.0,180.0,5.697318077085714,87,"Dakara, Hitori ja Nai -TV Size-"
8.0,170.0,3.8435499668142854,89,Sayonara no Yukue ~TV size~
8.0,146.0,5.000545024871428,88,DEAREST DROP (TVsize)
8.0,95.0,4.395543575285714,82,GIGA WRECKER Title Theme
8.5,175.0,5.509679317471428,209,haze
8.2,180.0,5.525255680085714,418,Huan Xiang Xiang Di Yi Tao Guang Bo Ti Cao
8.5,170.0,5.054763317107143,298,Find the blue
7.0,130.0,3.6620926857,104,Intro : Boy Meets Evil
8.0,138.0,4.819386482235714,302,Sen no Yukari
8.0,100.392,5.197512626649999,80,Suck My Kiss
7.0,130.0,3.5903511047357144,88,Precious You*
9.0,200.0,6.365035057071428,317,Tales of The Destinies
7.0,130.0,3.9264845848071426,43,SILNOYE ZAYAVLENIE (feat. Sergey Druzhko)
8.0,142.0,4.077068805692857,122,Alone
8.0,130.0,3.904860496521428,97,NIKOLAY (feat. Nikolay Sobolev)
8.299999999999999,154.0,4.559480667114285,168,Beautiful
8.0,180.0,5.006191253664285,87,Sakurane
8.0,107.95,3.9269273281071424,88,Ishukan Communication
8.5,200.0,5.401063442228571,109,Kaze no Uta
7.199999999999999,130.0,2.7802283763857143,49,Wakare no Toki
8.7,181.0,5.575526714321429,135,Hikari
9.0,164.0,5.787144184114285,96,MONSTER
9.0,120.0,5.429053306578571,98,Hanagoyomi short version
8.5,142.0,4.448518276214286,31,Harumachi Clover
8.0,195.0,4.698755741121428,147,Yubikiri
7.5,91.0,4.675467967985714,303,EXEC_VIENA/.
7.0,158.0,3.802021980285714,140,Bubblegum Bitch
6.0,193.0,5.662154674528572,301,Wonder Stella
8.0,140.0,5.1855068206785715,87,again
7.0,136.0,3.6814782619499997,105,E Zuo Ju
8.5,170.678,5.325344085692857,168,Hopes and Dreams
8.0,160.0,4.905257225035714,242,Sanagi
8.799999999999999,174.0,6.280112743378571,114,polygon
9.0,185.0,5.819098472592857,87,Anime o Katare! ~Animegatari Doukoukai no Thema~
9.200000000000001,123.0,6.998173713685714,88,Niji o Ametara (TV Size)
8.0,128.0,3.8045196533214285,99,100Nyan Power de Yumegokoti
8.0,178.0,4.657561302185714,85,ambiguous (TV Size ver.)
8.0,169.97,4.49300432205,78,The Colors Of My Life (Nightcore Mix)
7.5,90.0,2.0187602043142854,62,Friendship
9.0,174.0,6.107232093814285,321,last minute (sakuraburst remix)
8.0,156.0,4.820125103,299,Romanticide
8.0,126.911,2.6080188751214286,27,MAP4(Native Star)
7.3,107.0,3.438140869142857,178,Using You
8.5,120.0,5.695023536678571,369,NASA / I'm Down with Brown Town
6.0,66.0,3.095975637435714,30,Rebirth & Hope
8.0,93.0,5.050570011135714,308,Re:Call
9.0,90.5,5.846840381621428,299,Aphrodite
8.0,168.0,5.1495218277,105,Koujou Joujou High Jump (Short Ver.)
8.0,168.0,4.989496231078571,87,JUMPin' JUMP UP!!!!
8.5,186.0,5.381161212921429,90,Gugutto Work* (Short Ver.)
8.5,175.0,5.272242069242857,86,STEP by STEP UP
9.0,207.0,5.675170898435714,174,SELFISH
9.0,110.0,6.849790573121428,301,The World's End
9.0,165.0,5.251769542692857,88,Hitorigoto -TV MIX-
8.2,140.0,5.125894069671428,292,Edge
